it,sampling_method,dataset,rotulo,loss_strategy,size,Macro F1
4,At random,airbnb,At random,batl,1000,2.1858118791693992
4,At random,yelp,At random,batl,1000,2.055280784332965
4,At random,airbnb,At random,batl,1000,2.274152104341177
4,At random,yelp,At random,batl,1000,2.151539842732529
5,At random,airbnb,At random,batl,1000,2.1861584625909454
5,At random,yelp,At random,batl,1000,2.5307860139052156
5,At random,airbnb,At random,batl,1000,2.7065778477292564
5,At random,yelp,At random,batl,1000,2.433859062386713
5,At random,airbnb,At random,batl,1000,2.520142867980956
5,At random,yelp,At random,batl,1000,2.3284505770727293
5,At random,airbnb,At random,batl,1000,2.1652740491724716
5,At random,yelp,At random,batl,1000,2.047167688627414
5,At random,airbnb,At random,batl,1000,2.2851948903061743
5,At random,yelp,At random,batl,1000,2.929290321579917
5,At random,airbnb,At random,batl,1000,2.5805823384513458
5,At random,yelp,At random,batl,1000,2.2705637012069086
1,At random,airbnb,At random,batl,2500,7.03456534723623
1,At random,yelp,At random,batl,2500,5.031145525936371
1,At random,airbnb,At random,batl,2500,5.937070732081003
1,At random,yelp,At random,batl,2500,7.470847073125935
1,At random,airbnb,At random,batl,2500,5.194139043676614
1,At random,yelp,At random,batl,2500,5.608088138320393
1,At random,airbnb,At random,batl,2500,6.82519943499329
1,At random,yelp,At random,batl,2500,5.353478530773654
1,At random,airbnb,At random,batl,2500,6.061919528831627
1,At random,yelp,At random,batl,2500,5.328885627474259
1,At random,airbnb,At random,batl,2500,6.063072816921396
1,At random,yelp,At random,batl,2500,6.357563146552689
2,At random,airbnb,At random,batl,2500,5.425196026437703
2,At random,yelp,At random,batl,2500,7.145891929265781
2,At random,airbnb,At random,batl,2500,6.71355017131041
2,At random,yelp,At random,batl,2500,5.417696937478898
2,At random,airbnb,At random,batl,2500,6.059824183687928
2,At random,yelp,At random,batl,2500,6.3142075557225175
2,At random,airbnb,At random,batl,2500,7.2952204654445305
2,At random,yelp,At random,batl,2500,6.940687301137033
2,At random,airbnb,At random,batl,2500,6.17542344938064
2,At random,yelp,At random,batl,2500,6.903982298185249
2,At random,airbnb,At random,batl,2500,5.9060085141217815
2,At random,yelp,At random,batl,2500,7.408671441210717
3,At random,airbnb,At random,batl,2500,6.491820539098861
3,At random,yelp,At random,batl,2500,5.14759895043517
3,At random,airbnb,At random,batl,2500,5.2851207958741035
3,At random,yelp,At random,batl,2500,7.191242490331079
3,At random,airbnb,At random,batl,2500,6.438336444257742
3,At random,yelp,At random,batl,2500,7.283201465115416
3,At random,airbnb,At random,batl,2500,6.156517141714006
3,At random,yelp,At random,batl,2500,6.647323724916895
3,At random,airbnb,At random,batl,2500,6.963311399521648
3,At random,yelp,At random,batl,2500,7.222994964357522
3,At random,airbnb,At random,batl,2500,5.492074879760299
3,At random,yelp,At random,batl,2500,6.744160665222835
4,At random,airbnb,At random,batl,2500,6.415296292863353
4,At random,yelp,At random,batl,2500,6.946544406555409
4,At random,airbnb,At random,batl,2500,7.139410254094579
4,At random,yelp,At random,batl,2500,5.244200943459623
4,At random,airbnb,At random,batl,2500,6.9283786944209265
4,At random,yelp,At random,batl,2500,6.38426597280878
4,At random,airbnb,At random,batl,2500,6.739665013386417
4,At random,yelp,At random,batl,2500,5.046808214069625
4,At random,airbnb,At random,batl,2500,5.5697718229219895
4,At random,yelp,At random,batl,2500,6.150062044131719
4,At random,airbnb,At random,batl,2500,5.925140830693571
